number,name,area,centroidX,centroidY
3911,Færder,-90214962,238052,6567746
4032,Fyresdal,-1283958714,103362,6578673
1578,Fjord,-1193941905,105446,6929485
4614,Stord,-143188691,-33449,6670314
4629,Modalen,-414493815,8936,6784486
3446,Gran,-757210423,253200,6707659
1103,Stavanger,-256065575,-25291,6589472
4639,Vik,-837711459,43789,6794713
5512,Tjeldsund - Dielddanuorri,-811371210,569967,7607842
4001,Porsgrunn,-162442250,200149,6565070
5059,Orkland,-1906944932,231565,7026572
3423,Stor-Elvdal,-2166776594,276348,6835638
3336,Rollag,-450089586,177837,6666690
5636,Unjárga - Nesseby,-1444873413,1018396,7840185
4635,Gulen,-588635369,-28231,6798995
3905,Tønsberg,-328904397,232437,6590114
5514,Ibestad,-241942088,587170,7637115
4613,Bømlo,-230530447,-48862,6664271
1828,Nesna,-181643508,411009,7348104
1827,Dønna,-179392876,387701,7335420
5601,Alta,-3855564121,814306,7785352
3312,Lier,-301709861,233197,6645702
4211,Gjerstad,-322845498,153248,6543292
3441,Gausdal,-1192425855,224585,6803884
1811,Bindal,-1260882256,386371,7223051
4630,Osterøy,-256764571,-17144,6748415
1560,Tingvoll,-336739861,154349,6998315
1535,Vestnes,-406217456,92949,6962141
4024,Hjartdal,-793436725,146185,6634900
4221,Valle,-1269983350,67870,6582939
5620,Nordkapp,-927532284,892843,7904228
3124,Aremark,-319152520,311456,6568620
4619,Eidfjord,-1503967608,79225,6716842
5616,Hasvik,-556505362,777103,7845540
4014,Kragerø,-299119414,173693,6540797
5534,Karlsøy,-1092300675,668341,7776750
3118,Indre Østfold,-792031322,286469,6612568
3314,Øvre Eiker,-457332939,210700,6635185
4028,Kviteseid,-710282178,130475,6599369
1525,Stranda,-868750348,82644,6914956
3338,Nore og Uvdal,-2508170020,138003,6700275
4214,Froland,-646381023,117726,6514089
1838,Gildeskål,-654047419,461412,7428485
1825,Grane,-2002723191,428007,7253778
4649,Stad,-756360522,16857,6906179
3310,Hole,-192862974,238054,6665733
1146,Tysvær,-423728038,-33591,6620150
4636,Solund,-219940212,-44762,6817585
5610,Kárášjohka - Karasjok,-5464449753,896349,7732870
4022,Seljord,-716836622,135074,6620844
1820,Alstahaug,-173305986,386531,7312239
4612,Sveio,-244362905,-40631,6643940
3105,Sarpsborg,-404569249,281310,6578368
4642,Lærdal,-1346966423,108635,6789060
4622,Kvam,-620547308,11594,6727445
3421,Trysil,-3013612568,354906,6802351
3322,Nesbyen,-811047918,175189,6727471
3401,Kongsvinger,-1036210644,345917,6678655
5626,Gamvik,-1421962561,970366,7904539
4203,Arendal,-268389869,136740,6500291
3417,Grue,-836947607,347337,6703786
3448,Nordre Land,-956298032,227631,6767205
5530,Senja,-1950543719,603013,7691728
3430,Os,-1040523503,309672,6929296
1532,Giske,-40217365,40891,6964454
1833,Rana,-4456726046,478124,7366235
3907,Sandefjord,-419750903,225158,6576408
3209,Ullensaker,-252510226,288891,6674268
4633,Fedje,-7766460,-58558,6780999
3116,Skiptvet,-101237322,282115,6599779
3218,Ås,-103019426,262690,6623089
5536,Lyngen,-813397328,697643,7738738
3220,Enebakk,-232670135,281181,6631849
4618,Ullensvang,-3246031011,45544,6690336
5037,Levanger,-645450707,315261,7064330
1108,Sandnes,-1046430391,1504,6570122
5603,Hammerfest - Hámmerfeasta,-2699000850,831276,7843974
5058,Åfjord,-1323789123,275136,7108693
4648,Bremanger,-835881380,-7430,6890010
1853,Evenes - Evenášši,-251298571,580375,7601006
3449,Sør-Aurdal,-1110553602,206969,6739041
3226,Aurskog-Høland,-1144736434,310124,6636211
3112,Råde,-118231837,264645,6585847
5622,Porsanger - Porsáŋgu - Porsanki,-4885484471,882119,7814679
4643,Årdal,-979463983,115469,6816602
3122,Marker,-412908320,310403,6598981
3438,Sør-Fron,-742996208,223019,6833691
4030,Nissedal,-907514230,129940,6564597
3415,Sør-Odal,-516713421,320207,6680740
5001,Trondheim - Tråante,-529247099,271491,7031668
3403,Hamar,-351027461,291152,6763415
5518,Loabák - Lavangen,-301652722,613792,7626520
5014,Frøya,-201741590,188152,7083559
3232,Nittedal,-186319996,269395,6667953
4226,Hægebostad,-463294438,45678,6507723
5520,Bardu,-2703347554,658002,7621875
1547,Aukra,-57790078,87322,6990622
3320,Flå,-705308238,197464,6710368
3107,Fredrikstad,-283599820,267750,6572696
1149,Karmøy,-224713504,-53348,6611201
5044,Namsskogan,-1416400913,405675,7194879
3427,Tynset,-1881180833,269665,6926672
3318,Krødsherad,-375014453,204573,6685399
4651,Stryn,-1387088364,75366,6883933
3242,Hurdal,-285080870,277102,6706209
46,Vestland,-33892726745,35945,6783644
31,Østfold,-3985577229,288997,6585342
56,Finnmark – Finnmárku – Finmarkku,-48771664686,911481,7797174
11,Rogaland,-9400122195,-2424,6585269
42,Agder,-16450582889,73046,6529784
50,Trøndelag - Trööndelage,-42066429769,318533,7072951
18,Nordland - Nordlánnda,-37858449056,484132,7415982
15,Møre og Romsdal,-14353318371,117988,6958711
33,Buskerud,-14719432035,173360,6699670
39,Vestfold,-2151321711,222791,6585330
03,Oslo,-452262731,262338,6657004
34,Innlandet,-52111586457,256976,6820202
55,Troms – Romsa – Tromssa,-26200194300,677246,7691491
40,Telemark,-15324503749,133956,6615402
32,Akershus,-5892677613,282519,6659072
